,geoid,NAME,min_max_ex,min_max_sens,min_max_ac,vul_score_mulpi,vul_score_add
296,36005003800,"Census Tract 38, Bronx County, New York",0.079888148,0.560229614,,0.0447557062768477,0.6401177621730214
297,36005004001,"Census Tract 40.01, Bronx County, New York",0.044230313,0.495575122,0.336004363,0.007057864604453,0.203801072042472
298,36005004400,"Census Tract 44, Bronx County, New York",0.167357073,0.688531185,0.304299691,0.0643038580663318,0.5515885665866447
299,36005004800,"Census Tract 48, Bronx County, New York",0.080656683,0.559053202,0.394103632,0.0133042852196556,0.2456062530620379
300,36005006800,"Census Tract 68, Bronx County, New York",0.045072225,0.596663043,0.329863313,0.0120252574908546,0.3118719550842704
301,36005007000,"Census Tract 70, Bronx County, New York",0.049133311,0.492919826,0.373425161,0.0058711685688905,0.168627976511632
302,36005008900,"Census Tract 89, Bronx County, New York",0.096134118,0.57744296,0.440172007,0.0131964220222285,0.2334050712572886
303,36005012101,"Census Tract 121.01, Bronx County, New York",0.066256586,0.546685444,0.377534987,0.0112073317680763,0.2354070422954169
304,36005012500,"Census Tract 125, Bronx County, New York",0.076655093,0.590481705,0.421030693,0.0129892830775204,0.2461061049674158
305,36005014300,"Census Tract 143, Bronx County, New York",0.168329086,0.670044062,0.30226918,0.0619072099808108,0.5361039690148245
306,36005016200,"Census Tract 162, Bronx County, New York",0.026077122,0.433982249,0.32498998,0.0028422047219731,0.1350693914315843
307,36005016600,"Census Tract 166, Bronx County, New York",0.025391603,0.438648344,0.368350088,0.0017849853965148,0.09568985888356
308,36005017500,"Census Tract 175, Bronx County, New York",0.104338447,0.597614254,0.290329262,0.0320616389273762,0.4116234390382659
309,36005017902,"Census Tract 179.02, Bronx County, New York",0.07104056,0.587932246,0.449929215,0.0098038125757992,0.2090435909872864
310,36005020200,"Census Tract 202, Bronx County, New York",0.067156084,0.545976843,0.379054404,0.0112098573343205,0.2340785225288494
311,36005020400,"Census Tract 204, Bronx County, New York",0.048663252,0.518566313,,0.0252351231455149,0.5672295647961259
312,36005020601,"Census Tract 206.01, Bronx County, New York",0.052241867,0.491005391,0.35850971,0.0069218217449315,0.1847375482527141
313,36005021601,"Census Tract 216.01, Bronx County, New York",0.077669879,0.56558222,0.275721502,0.0225134468986074,0.3675305973084829
314,36005022102,"Census Tract 221.02, Bronx County, New York",0.082391595,0.621493945,0.438662711,0.0150637570247506,0.2652228289959628
315,36005022300,"Census Tract 223, Bronx County, New York",0.103766722,0.565558211,0.441568833,0.0128659712669955,0.2277560994971951
316,36005023200,"Census Tract 232, Bronx County, New York",0.042901521,0.548876996,0.41544399,0.0057244789467964,0.1763345275171222
317,36005023600,"Census Tract 236, Bronx County, New York",0.069846709,0.567628791,0.427470777,0.0097895759859038,0.2100047227828207
318,36005024300,"Census Tract 243, Bronx County, New York",0.111516998,0.56215114,0.316971196,0.0273417313400277,0.3566969419531438
319,36005024600,"Census Tract 246, Bronx County, New York",0.035338648,0.471432685,0.35423975,0.0041414398527393,0.1525315826134911
320,36005025000,"Census Tract 250, Bronx County, New York",0.023986907,0.455260978,0.354458745,0.0024179338054138,0.124789140253465
321,36005025200,"Census Tract 252, Bronx County, New York",0.027921692,0.442858905,0.390325168,0.001466830799425,0.0804554283408736
322,36005025400,"Census Tract 254, Bronx County, New York",0.046750597,0.456891071,0.397945337,0.0027557482395066,0.1056963307709442
323,36005028700,"Census Tract 287, Bronx County, New York",0.042911316,0.46017937,0.341371285,0.0050982112590735,0.1617194011332527
324,36005028800,"Census Tract 288, Bronx County, New York",0.026408358,0.524485173,0.291082367,0.0061637848152348,0.2598111638729478
325,36005030100,"Census Tract 301, Bronx County, New York",0.021841022,0.563842452,0.477624559,0.0018830868775553,0.1080589144828533
